experiment,scheme,tag_policy,workload,pipeline_depth,adversary,fec_t,seeds,goodput_mean,goodput_ci95,throughput_payload_B_per_cycle_mean,throughput_payload_B_per_cycle_ci95,p50_latency_cycles_mean,p50_latency_cycles_ci95,p95_latency_cycles_mean,p95_latency_cycles_ci95,p99_latency_cycles_mean,p99_latency_cycles_ci95,p999_latency_cycles_mean,p999_latency_cycles_ci95,max_latency_cycles_mean,max_latency_cycles_ci95,avg_repair_rounds_mean,avg_repair_rounds_ci95,avg_repair_frames_mean,avg_repair_frames_ci95,peak_repair_frames_mean,peak_repair_frames_ci95,security_drops_mean,security_drops_ci95,rejected_frames_mean,rejected_frames_ci95
tag_policy,sr,tag_once,packet256,1,none,0,20,0.9157402066155832,0.000540019498648455,7.260988155574105,0.004243908179652508,1118.5,0.0,1265.275,3.3809999999999993,1326.55,10.15560658221022,1415.5,26.326417190823044,1415.5,26.326417190823044,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
workload_pipeline,sr,repair_authenticator,bulk64k,1,none,0,20,0.9154588497667191,0.0005503703849314022,7.258777014636056,0.004325277285525624,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
workload_pipeline,sr,repair_authenticator,bulk64k,2,none,0,20,0.9154588497667191,0.0005503703849314022,14.517554029272112,0.008650554571051247,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
workload_pipeline,sr,repair_authenticator,bulk64k,4,none,0,20,0.9154588497667191,0.0005503703849314022,29.035108058544225,0.017301109142102495,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
workload_pipeline,sr,repair_authenticator,bulk64k,8,none,0,20,0.9154588497667191,0.0005503703849314022,58.07021611708845,0.03460221828420499,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
workload_pipeline,sr,repair_authenticator,coherence64,1,none,0,20,0.22886471244167977,0.00013759259623285055,1.814694253659014,0.001081319321381406,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
workload_pipeline,sr,repair_authenticator,coherence64,2,none,0,20,0.22886471244167977,0.00013759259623285055,3.629388507318028,0.002162638642762812,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
workload_pipeline,sr,repair_authenticator,coherence64,4,none,0,20,0.22886471244167977,0.00013759259623285055,7.258777014636056,0.004325277285525624,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
workload_pipeline,sr,repair_authenticator,coherence64,8,none,0,20,0.22886471244167977,0.00013759259623285055,14.517554029272112,0.008650554571051247,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
workload_pipeline,sr,repair_authenticator,dma4k,1,none,0,20,0.9154588497667191,0.0005503703849314022,7.258777014636056,0.004325277285525624,1118.5,0.0,1266.775,3.3809999999999993,1328.425,10.358244748178038,1418.5,26.464297896560467,1418.5,26.464297896560467,0.22916666666666666,0.009665836019968073,0.3298333333333333,0.018735468380550204,4.6,0.6262967179758876,0.0,0.0,0.0,0.0
